Омск>ул. Бульвар Архитекторов, 14/3
Омск>пр-т Мира, 10/1
Омск>ул. Дианова, 3/1а
Омск>ул. Красный путь, 61
Омск>ул. 10 лет Октября, 166
Омск>пр-т Карла Маркса, 84
Омск>ул. Богдана Хмельницкого, 182
Омск>ул. Лукашевича, 33
Омск>пр-т Карла Маркса, 5а
Омск>пр-т Мира, 48
Омск>ул. Кирова, 47б
Омск>ул. Ленина, 14
Омск>ул. 70 лет Октября, 20
Ачинск>3-й микрорайон, 39/1
Бердск>ул. Ленина, 67
Красноярск>ул. ​Карамзина, 18
Красноярск>ул. Новосибирская 7
Красноярск>ул. Аэровокзальная, 1А
Красноярск>пр-т имени Газеты Красноярский Рабочий, 67
Новосибирск>ул. Мясниковой, 29
Новосибирск>ул. Выборная, 118/1
Новосибирск>ул. Дуси Ковальчук,260
Томск>Иркутский тракт, 54
